Experiment;Sample_date;Time_years;ambient_CO2;increased_CO2;ambient_CO2_n;increased_CO2_n;Depth
ORNL FACE;01.10.02;4.33;2730;2991;3;2;0-15 cm
ORNL FACE;01.06.09;11;3370;3850;3;2;0-15 cm
;;;;;;;
Placerville - low N;01.03.91;0;8400;8000;3;3;0-30 cm
Placerville - low N;01.03.93;1.75;7600;7600;3;3;0-30 cm
Placerville - low N;01.09.96;5.5;7400;7600;3;3;0-30 cm
;;;;;;;
Placerville - medium N;01.03.91;0;7800;7900;3;3;0-30 cm
Placerville - medium N;01.03.93;1.75;7700;7800;3;3;0-30 cm
Placerville - medium N;01.09.96;5.5;7400;8300;3;3;0-30 cm
;;;;;;;
Placerville - high N;01.03.91;0;8100;7500;3;3;0-30 cm
Placerville - high N;01.03.93;1.75;7500;8500;3;3;0-30 cm
Placerville - high N;01.09.96;5.5;7400;8100;3;3;0-30 cm
;;;;;;;
POPFACE - alba;01.10.99;0;1320;1128;3;3;0-10 cm
POPFACE - alba;01.10.00;1;1365;1195;3;3;0-10 cm
POPFACE - alba;01.10.01;2;1524;1295;3;3;0-10 cm
POPFACE - alba;01.10.03;4;1629;1377;3;3;0-10 cm
POPFACE - alba;01.10.04;5;1647;1480;3;3;0-10 cm
;;;;;;;
POPFACE - euramericana;01.10.99;0;1252;1165;3;3;0-10 cm
POPFACE - euramericana;01.10.00;1;1429;1213;3;3;0-10 cm
POPFACE - euramericana;01.10.01;2;1405;1084;3;3;0-10 cm
POPFACE - euramericana;01.10.03;4;1635;1431;3;3;0-10 cm
POPFACE - euramericana;01.10.04;5;1686;1370;3;3;0-10 cm
;;;;;;;
POPFACE - nigra;01.10.99;0;1379;1149;3;3;0-10 cm
POPFACE - nigra;01.10.00;1;1458;1169;3;3;0-10 cm
POPFACE - nigra;01.10.01;2;1534;1112;3;3;0-10 cm
POPFACE - nigra;01.10.03;4;1518;1246;3;3;0-10 cm
POPFACE - nigra;01.10.04;5;1509;1344;3;3;0-10 cm
;;;;;;;
Shortgrass prairie;01.11.95;0;617;645;3;3;0-5 cm
Shortgrass prairie;end growing season  1997;1;527;542;3;3;0-5 cm
Shortgrass prairie;end growing season  1998;2;488;522;3;3;0-5 cm
Shortgrass prairie;end growing season  1999;3;618;616;3;3;0-5 cm
Shortgrass prairie;end growing season  2000;4;603;593;3;3;0-5 cm
;;;;;;;
SoyFACE;spring 2001;0;4803;4142;3;3;0-12.5 cm
SoyFACE;spring 2006;5;4671;4100;3;3;0-12.5 cm
SoyFACE;spring 2007;6;4437;3836;3;3;0-12.5 cm
;;;;;;;
SwissFACE- grass - low N;01.05.95;2;2878;2862;3;3;0-10 cm
SwissFACE- grass - low N;01.05.96;3;2796;3584;3;3;0-10 cm
SwissFACE- grass - low N;01.05.97;4;2855;2790;3;3;0-10 cm
SwissFACE- grass - low N;01.05.98;5;3305;3368;3;3;0-10 cm
SwissFACE- grass - low N;01.05.99;6;2970;2946;3;3;0-10 cm
SwissFACE- grass - low N;01.05.00;7;2606;2759;3;3;0-10 cm
SwissFACE- grass - low N;01.05.01;8;3733;3834;3;3;0-10 cm
SwissFACE- grass - low N;01.05.02;9;3350;3498;3;3;0-10 cm
SwissFACE- grass - low N;01.05.03;10;3293;3198;3;3;0-10 cm
;;;;;;;
SwissFACE- grass - high N;01.05.95;2;3528;3223;3;3;0-10 cm
SwissFACE- grass - high N;01.05.96;3;3052;3892;3;3;0-10 cm
SwissFACE- grass - high N;01.05.97;4;3075;3091;3;3;0-10 cm
SwissFACE- grass - high N;01.05.98;5;3494;3606;3;3;0-10 cm
SwissFACE- grass - high N;01.05.99;6;2986;3045;3;3;0-10 cm
SwissFACE- grass - high N;01.05.00;7;2920;2588;3;3;0-10 cm
SwissFACE- grass - high N;01.05.01;8;3434;3114;3;3;0-10 cm
SwissFACE- grass - high N;01.05.02;9;3302;3439;3;3;0-10 cm
SwissFACE- grass - high N;01.05.03;10;3258;3332;3;3;0-10 cm
;;;;;;;
SwissFACE- clover - low N;01.05.95;2;2822;2872;3;3;0-10 cm
SwissFACE- clover - low N;01.05.96;3;3048;3500;3;3;0-10 cm
SwissFACE- clover - low N;01.05.97;4;2862;2931;3;3;0-10 cm
SwissFACE- clover - low N;01.05.98;5;3034;3291;3;3;0-10 cm
SwissFACE- clover - low N;01.05.99;6;2758;2911;3;3;0-10 cm
SwissFACE- clover - low N;01.05.00;7;2544;2987;3;3;0-10 cm
SwissFACE- clover - low N;01.05.01;8;3443;3145;3;3;0-10 cm
SwissFACE- clover - low N;01.05.02;9;3053;3591;3;3;0-10 cm
SwissFACE- clover - low N;01.05.03;10;2999;3076;3;3;0-10 cm
;;;;;;;
